,PLU4046,PLU4046,PLU4225,PLU4225,PLU4770,PLU4770
Type,conventional,organic,conventional,organic,conventional,organic
Date,,,,,,
2015-01-04,32467113,631145,36275191,575847,2266811,12008
2015-01-11,30294473,729692,32113873,694557,2338688,10479
2015-01-18,31128502,674205,30832958,829084,2197262,10989
2015-01-25,31753235,551897,28371798,557324,2065280,13099
2015-02-01,49485277,807712,50007062,689169,3671480,16009
2015-02-08,34540514,580435,35699329,724857,1983839,14553
2015-02-15,33257922,556415,25914954,601013,2242784,13573
2015-02-22,33213799,724423,30092185,607152,2507695,13406
2015-03-01,34957372,956085,36498105,721149,2851532,15257
2015-03-08,34061774,671922,28950181,874346,2225476,15561
2015-03-15,34484878,619318,28159200,682024,2313842,14594
2015-03-22,35626858,624396,33642301,859166,2828117,14549
2015-03-29,32784900,512970,30648717,874090,2162312,15980
2015-04-05,36456817,522976,30590788,732091,2301958,16959
2015-04-12,38417306,536335,29753320,1172434,2126862,17008
2015-04-19,37205897,571419,32694303,814829,2664533,17785
2015-04-26,36021438,849069,28997370,1021726,2366183,16958
2015-05-03,46884333,856699,44053555,1011588,3011187,24683
2015-05-10,42471688,658396,36301325,932388,2309435,17151
2015-05-17,37966249,649378,29285526,843371,2587312,60779
2015-05-24,41840872,613430,33392481,792430,2421142,18973
2015-05-31,40753796,542346,31042941,902242,2449096,18892
2015-06-07,43304810,534500,33679536,708666,3022297,17478
2015-06-14,42979515,537459,34246534,743429,2870355,19134
2015-06-21,38644744,535825,35342050,809991,3482240,17445
2015-06-28,34831381,508727,30564144,890969,2755059,16419
2015-07-05,41186325,540598,37695457,810121,3540925,17193
2015-07-12,32359152,467740,32882843,706540,2624532,14033
2015-07-19,33568383,418632,33374307,853518,3062899,13115
2015-07-26,32042236,446174,31658258,717291,2687668,12013
2015-08-02,31881480,433084,32553032,704123,2601024,14026
2015-08-09,34428518,449182,37199864,717571,2696329,19185
2015-08-16,33384519,399006,34555952,831701,3053076,17303
2015-08-23,29544372,463925,33419708,800562,2450307,16777
2015-08-30,30787973,395794,31854571,884036,2832180,15502
2015-09-06,33089005,349705,37762816,728620,3052300,16503
2015-09-13,25750289,355988,39822923,675143,3021730,14417
2015-09-20,24724124,333953,36841275,658773,3002379,13803
2015-09-27,22137431,301006,36874183,643133,2857170,12664
2015-10-04,21853903,251096,36737866,725023,3225210,11341
2015-10-11,23086465,243407,35533270,618031,4271061,13337
2015-10-18,24192772,285254,38037847,601324,3245331,14431
2015-10-25,22669430,287499,30403869,656428,3182042,17042
2015-11-01,26787458,303145,38411630,709177,3763495,18112
2015-11-08,26364108,442936,32735204,668040,3044888,12099
2015-11-15,26154042,290288,31463308,607144,2184704,9872
2015-11-22,22458619,251473,27879496,673754,2143382,10145
2015-11-29,21248870,208235,24160640,559668,1945896,10537
2015-12-06,24722002,236081,32502111,564792,2482759,11312
2015-12-13,25748340,241925,28883626,599972,2674412,32845
2015-12-20,22767447,247269,25006582,554201,3143120,22243
2015-12-27,25239556,237125,27167979,551077,3106113,15117
2016-01-03,30157075,333262,42652437,655460,4167723,19907
2016-01-10,29770423,300880,35236261,771301,3395022,21811
2016-01-17,25933241,306904,37073098,712230,3758176,29966
2016-01-24,18455383,260874,37516026,725850,3822322,30164
2016-01-31,28573416,285901,35552732,721603,4297242,14483
2016-02-07,42816189,266387,54551547,779832,6586334,19922
2016-02-14,30685987,270290,35462301,821626,4732008,17007
2016-02-21,25834741,274244,32127140,754190,3584080,20545
2016-02-28,30764839,292212,35536296,930600,4096878,24450
2016-03-06,30435875,339025,32670455,946335,4393914,15421
2016-03-13,29883057,352491,35236246,932343,4646937,17469
2016-03-20,28742341,278897,36790880,951254,4586566,22997
2016-03-27,29119929,297148,34149357,910255,4869592,19889
2016-04-03,29220572,315749,30919676,1005572,4487698,21818
2016-04-10,33397170,287906,30909945,1075612,4354562,28805
2016-04-17,30864055,306157,34114980,1049285,4935940,20191
2016-04-24,33273975,594988,38589974,1416697,4203736,22462
2016-05-01,35665427,637419,42657465,1298427,3694835,71638
2016-05-08,36684192,351427,48349412,1186297,5220459,72658
2016-05-15,32172963,386231,38699897,1189465,4559541,21472
2016-05-22,29967422,441449,34686237,1228964,4364240,37200
2016-05-29,35226023,366723,37106054,1278290,4244739,39880
2016-06-05,35715781,406024,35699093,1102983,4741863,19556
2016-06-12,31826094,470514,30709595,1085225,4289266,22764
2016-06-19,35025490,445322,33968948,1196077,4348074,27283
2016-06-26,31578633,458690,32208267,1049888,4305073,17231
2016-07-03,32678647,425932,35155940,1022086,4624375,29431
2016-07-10,29782346,411755,30847847,946313,3346844,30290
2016-07-17,26800988,409377,28109305,966164,2542104,27856
2016-07-24,26863487,424458,28558900,917357,2528433,24411
2016-07-31,26365262,417026,27564809,880375,2101927,23893
2016-08-07,31721387,402786,28466817,889619,2030813,28074
2016-08-14,31971030,492885,29068667,912920,2001424,25329
2016-08-21,33076343,469906,26472815,824414,1628602,16188
2016-08-28,32651453,361302,27899149,845747,1535593,14258
2016-09-04,38098520,368680,29579323,919363,1463304,12834
2016-09-11,33855181,387404,27870168,904971,1393022,9717
2016-09-18,29227744,337335,25218170,711259,1324189,12999
2016-09-25,27489042,312188,24687348,726860,1354574,11533
2016-10-02,24824321,342597,24437906,728318,1346634,13523
2016-10-09,24663251,332582,25740361,721230,1341266,13967
2016-10-16,22856696,299800,23748448,665601,1222604,12258
2016-10-23,19596607,341610,21589118,653990,1240069,11744
2016-10-30,18105900,328307,18475979,761458,1249279,14677
2016-11-06,19987955,310888,19026016,721418,1396658,12574
2016-11-13,21375618,290875,20769425,695889,1319406,9568
2016-11-20,22301864,294157,21696701,635508,1122154,9832
2016-11-27,20607599,266060,19835557,537297,950642,8564
2016-12-04,28501411,286278,26575695,660962,1178309,7562
2016-12-11,23180372,249547,26879339,681789,1120919,14257
2016-12-18,24306282,263723,27863520,681370,1190399,11857
2016-12-25,24037303,251417,27353515,675191,1526170,9125
2017-01-01,32413895,269066,37739194,740048,1511160,11462
2017-01-08,30334315,317305,37255379,759261,1492658,19713
2017-01-15,33380489,324993,33668337,752435,1619397,19809
2017-01-22,37172176,307559,38089498,759764,2557415,16257
2017-01-29,36343224,350586,31244598,788882,2241803,8964
2017-02-05,58604314,364938,54627020,847202,4557598,6121
2017-02-12,39117690,362211,32709420,807124,2319440,8993
2017-02-19,29181606,701556,27529227,1806269,2209501,8618
2017-02-26,33869775,401287,30465134,1005213,2375834,9404
2017-03-05,29157103,494158,29101324,1027316,2142425,6758
2017-03-12,28864651,407462,25647150,897561,1960855,8302
2017-03-19,28354121,466756,25678161,1138000,1734440,8427
2017-03-26,30346999,430836,25783075,964747,1659635,9817
2017-04-02,31574994,493225,25979480,1178658,1691209,9631
2017-04-09,31131851,393742,28849539,981091,1754878,20207
2017-04-16,31882007,471805,26857645,1206424,1768458,12673
2017-04-23,31525178,403521,27371116,944164,1668909,9007
2017-04-30,34582933,535594,30182185,1154488,1817553,13771
2017-05-07,44147612,459935,36323253,1048478,2329120,11600
2017-05-14,33255138,440359,26057919,917360,1778108,13212
2017-05-21,31450880,443270,27379479,940557,1689933,11801
2017-05-28,33353137,432934,29190428,963103,1819693,8652
2017-06-04,34382383,445364,27155576,1056527,1803217,8175
2017-06-11,34945104,426446,26994090,919406,1744204,10402
2017-06-18,33718498,456408,29854022,1205798,2145149,5719
2017-06-25,33587869,322018,28901892,918516,1766872,7513
2017-07-02,32877925,337456,29075336,970042,2282807,9892
2017-07-09,33821184,288559,29408661,893747,2174220,10062
2017-07-16,29193170,251733,29698895,830705,2025443,15338
2017-07-23,29857788,297508,30099156,854058,1663727,11871
2017-07-30,29076209,265598,29384554,726205,1624983,6658
2017-08-06,29535729,297910,29099463,628749,1803550,4496
2017-08-13,28704922,260958,29514756,610968,1712130,3972
2017-08-20,27510191,292520,23422442,709541,1591122,3178
2017-08-27,27802160,304069,22875248,674001,1420311,5011
2017-09-03,25514024,303754,22916654,694505,1481221,5533
2017-09-10,24796853,307762,22392728,679115,1339167,2626
2017-09-17,23792663,376073,22364002,656596,1142660,2389
2017-09-24,22576982,310431,22349614,645280,1033282,3012
2017-10-01,21729204,267140,22498733,622449,1046689,4542
2017-10-08,23219576,267533,20547778,628321,1077553,3123
2017-10-15,22842225,275049,23036387,588817,1088272,3468
2017-10-22,25075118,238393,23585430,622194,1129197,3340
2017-10-29,27718758,236534,26485224,595383,1171470,2954
2017-11-05,28849082,235257,26229906,665953,1096313,2905
2017-11-12,30037207,248102,26869373,586757,1148282,2885
2017-11-19,29095992,233974,21074380,574012,1141814,2277
2017-11-26,23994647,207198,19700136,552644,1047776,2716
2017-12-03,30623416,267966,29239628,740973,1558025,3045
2017-12-10,31019388,257108,31782586,707434,1093046,2812
2017-12-17,27771089,254972,26886389,675235,1540204,2718
2017-12-24,26069741,275827,23995164,664385,1484357,3193
2017-12-31,33849643,322586,35368670,672821,1727861,3536
2018-01-07,35506542,351078,28919542,806151,1835165,3730
2018-01-14,32540908,389412,31628271,874847,1776696,4778
2018-01-21,36858419,289581,37828690,697481,2459626,4615
2018-01-28,37470790,317823,33053232,760696,1566597,3537
2018-02-04,56237352,315506,55441301,782502,2796555,4969
2018-02-11,41278798,263577,31306648,734696,1769736,5393
2018-02-18,34475021,684340,28150664,1945375,1506866,5472
2018-02-25,35772868,328582,27922797,929028,1934325,2967
2018-03-04,37297635,382955,30570852,1069638,1542743,3315
2018-03-11,36670510,344083,29021989,1105357,1902785,3901
2018-03-18,35476431,462363,29655016,1213420,1751192,2846
2018-03-25,36462627,322533,32405409,935074,2041825,2961
